lat,lon,streak,sst_media
24.8,-113.55,5,23.227
24.8,-113.54,5,23.2412
24.8,-113.53,5,23.2542
24.8,-113.52,5,23.2654
24.8,-113.51,5,23.2744
24.8,-113.5,5,23.2814
24.8,-113.49,5,23.286
24.8,-113.48,5,23.288400000000003
24.8,-113.47,5,23.2882
24.8,-113.46,5,23.2866
24.8,-113.45,5,23.283800000000003
24.8,-113.44,5,23.281
24.8,-113.43,5,23.278599999999997
24.8,-113.42,5,23.2774
24.8,-113.41,5,23.2806
24.8,-113.4,5,23.2882
24.8,-113.39,5,23.3012
24.8,-113.38,5,23.319
24.8,-113.37,5,23.340600000000002
24.8,-113.36,5,23.366
24.8,-113.35,5,23.3936
24.8,-113.34,5,23.4234
24.8,-113.33,5,23.4544
24.8,-113.32,5,23.4868
24.8,-113.31,5,23.52
24.8,-113.3,5,23.555
24.8,-113.29,5,23.5908
24.8,-113.28,5,23.627
24.8,-113.27,5,23.663
24.8,-113.26,5,23.6986
24.8,-113.25,5,23.733600000000003
24.8,-113.24,5,23.768399999999996
24.8,-113.23,5,23.803
24.8,-113.22,5,23.8378
24.8,-113.21,5,23.8728
24.8,-113.2,5,23.9078
24.8,-113.19,5,23.9434
24.8,-113.18,5,23.979599999999998
24.8,-113.17,5,24.016
24.8,-113.16,5,24.0526
24.8,-113.15,5,24.0884
24.8,-113.14,5,24.123399999999997
24.8,-113.13,5,24.1566
24.8,-113.12,5,24.1876
24.8,-113.11,5,24.215
24.8,-113.1,5,24.239
24.81,-113.75,5,23.136200000000002
24.81,-113.74,5,23.129
24.81,-113.73,5,23.124
24.81,-113.72,5,23.1194
24.81,-113.71,5,23.113400000000002
24.81,-113.7,5,23.1072
24.81,-113.69,5,23.101399999999998
24.81,-113.68,5,23.0976
24.81,-113.67,5,23.0954
24.81,-113.66,5,23.0954
24.81,-113.65,5,23.095799999999997
24.81,-113.64,5,23.0964
24.81,-113.63,5,23.0978
24.81,-113.62,5,23.1018
24.81,-113.61,5,23.1116
24.81,-113.6,5,23.128800000000002
24.81,-113.59,5,23.15
24.81,-113.58,5,23.168
24.81,-113.57,5,23.181600000000003
24.81,-113.56,5,23.194799999999997
24.81,-113.55,5,23.2084
24.81,-113.54,5,23.2212
24.81,-113.53,5,23.233200000000004
24.81,-113.52,5,23.2444
24.81,-113.51,5,23.253999999999998
24.81,-113.5,5,23.2626
24.81,-113.49,5,23.269200000000005
24.81,-113.48,5,23.2736
24.81,-113.47,5,23.275
24.81,-113.46,5,23.274600000000003
24.81,-113.45,5,23.2736
24.81,-113.44,5,23.272000000000002
24.81,-113.43,5,23.2692
24.81,-113.42,5,23.268400000000003
24.81,-113.41,5,23.272399999999998
24.81,-113.4,5,23.2834
24.81,-113.39,5,23.301
24.81,-113.38,5,23.3248
24.81,-113.37,5,23.352200000000003
24.81,-113.36,5,23.3822
24.81,-113.35,5,23.4134
24.81,-113.34,5,23.4456
24.81,-113.33,5,23.4784
24.81,-113.32,5,23.5118
24.81,-113.31,5,23.546
24.81,-113.3,5,23.580399999999997
24.81,-113.29,5,23.6156
24.81,-113.28,5,23.651
24.81,-113.27,5,23.6864
24.81,-113.26,5,23.7212
24.81,-113.25,5,23.7558
24.81,-113.24,5,23.7902
24.81,-113.23,5,23.824400000000004
24.81,-113.22,5,23.858999999999998
24.81,-113.21,5,23.8938
24.81,-113.2,5,23.929000000000002
24.81,-113.19,5,23.965000000000003
24.81,-113.18,5,24.001599999999996
24.81,-113.17,5,24.0394
24.81,-113.16,5,24.0766
24.81,-113.15,5,24.113599999999998
24.81,-113.14,5,24.1492
24.81,-113.13,5,24.1826
24.81,-113.12,5,24.212600000000002
24.82,-113.75,5,23.1472
24.82,-113.74,5,23.1398
24.82,-113.73,5,23.1338
24.82,-113.72,5,23.1286
24.82,-113.71,5,23.123399999999997
24.82,-113.7,5,23.1182
24.82,-113.69,5,23.1132
24.82,-113.68,5,23.108200000000004
24.82,-113.67,5,23.104000000000003
24.82,-113.66,5,23.100399999999997
24.82,-113.65,5,23.0974
24.82,-113.64,5,23.094800000000003
24.82,-113.63,5,23.094199999999997
24.82,-113.62,5,23.096600000000002
24.82,-113.61,5,23.1044
24.82,-113.6,5,23.1202
24.82,-113.59,5,23.1396
24.82,-113.58,5,23.1554
24.82,-113.57,5,23.168
24.82,-113.56,5,23.1796
24.82,-113.55,5,23.1916
24.82,-113.54,5,23.2032
24.82,-113.53,5,23.214199999999998
24.82,-113.52,5,23.2246
24.82,-113.51,5,23.2344
24.82,-113.5,5,23.2442
24.82,-113.49,5,23.252599999999997
24.82,-113.48,5,23.259
24.82,-113.47,5,23.262400000000003
24.82,-113.46,5,23.2642
24.82,-113.45,5,23.2656
24.82,-113.44,5,23.266000000000002
24.82,-113.43,5,23.2646
24.82,-113.42,5,23.2642
24.82,-113.41,5,23.269600000000004
24.82,-113.4,5,23.282600000000002
24.82,-113.39,5,23.3046
24.82,-113.38,5,23.333599999999997
24.82,-113.37,5,23.3666
24.82,-113.36,5,23.401000000000003
24.82,-113.35,5,23.435399999999998
24.82,-113.34,5,23.4698
24.82,-113.33,5,23.503999999999998
